NUEVA 5 ORIENTE;277;-330.211.219;-715.447.365;222;5 Oriente;Viña;Viña del Mar;Valparaiso;Valparaiso;V Valparaiso;V Valparaiso;CL;Chile;1322288;ROOFTOP
PROLONGACION LAS HERAS A FORESTAL VINA;SN;-330.380.641;-715.412.344;1;1888;Calle Blanca Vergara;Calle Blanca Vergara;Viña del Mar;Viña del Mar;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;1336022;ROOFTOP
PEDRO LAGOS;1075;-334.660.188;-706.482.972;1075;Pedro Lagos;Santiago;Santiago;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;1356457;ROOFTOP
RINIHUE;1689;-387.413.886;-726.292.352;1689;Lago Riñihue;Temuco;Temuco;Cautín;Cautín;IX Región;IX Región;CL;Chile;10257128;RANGE_INTERPOLATED
SAN GUILLERMO;1143;-330.442.708;-715.899.573;1143;San Guillermo;Valparaíso;Valparaíso;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;1367849;RANGE_INTERPOLATED
SALVADOR ALLENDE;216;-396.423.883;-723.420.491;216;Salvador Allende;Panguipulli;Panguipulli;Valdivia;Valdivia;Región de los Ríos;Región de los Ríos;CL;Chile;9160639;RANGE_INTERPOLATED
CHACABUCO;248;-311.790.529;-710.027.138;248;Chacabuco;Combarbala;Combarbala;Limarí;Limarí;Región de Coquimbo;Región de Coquimbo;CL;Chile;9715517;RANGE_INTERPOLATED
I CARRERA PINTO;133;-335.887.942;-706.985.475;133;Pinto;San Bernardo;San Bernardo;Maipo;Maipo;Región Metropolitana;Región Metropolitana;CL;Chile;10152193;RANGE_INTERPOLATED
PASAJE SAN ANDRES;367;-273.797.438;-70.315.277;367;San Andrés;Copiapó;Copiapó;Copiapo;Copiapo;III Región;III Región;CL;Chile;8545423;RANGE_INTERPOLATED
JUAN PAULINO FLORES;1651;-367.470.882;-724.630.769;1651;Juan Paulino Flores;Quillón;Quillón;Región del Bío Bío;Región del Bío Bío;CL;Chile;S/N;S/N;9168419;RANGE_INTERPOLATED
AVENIDA CRISTOBAL COLON;5344;-334.181.392;-7.057.025;5344;Cristóbal Colón;Las Condes;Las Condes;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;10742857;ROOFTOP
12  1/2 NORTE   5 1/2 ORIENTE;1271;-354.298.495;-716.448.984;2135;Dos Sur;Talca;Talca;Talca;Talca;VII Región;VII Región;CL;Chile;1437795;ROOFTOP
JUAN ANTONIO RIOS;822;-405.724.968;-73.158.311;822;Juan Antonio Ríos;Osorno;Osorno;Osorno;Osorno;X Región;X Región;CL;Chile;10904250;RANGE_INTERPOLATED
EL RODEO;155;-337.269.093;-707.334.195;155;El Rodeo;Buin;Buin;Maipo;Maipo;Región Metropolitana;Región Metropolitana;CL;Chile;10637885;ROOFTOP
LA LAGUNA;SN;-34.435.532;-710.905.354;1872;German Riesco;San Vicente;San Vicente;Cachapoal;Cachapoal;VI Región;VI Región;CL;Chile;1458270;ROOFTOP
ESTERO LIMACHE;2245;-335.774.056;-708.060.184;2245;Estero Limache;Padre Hurtado;Padre Hurtado;Talagante;Talagante;Región Metropolitana;Región Metropolitana;CL;Chile;9445330;ROOFTOP
CALLE CUATRO;248;-341.962.072;-708.888.391;248;Calle A;Doñihue;Doñihue;VI Región;VI Región;CL;Chile;S/N;S/N;1463171;RANGE_INTERPOLATED
GRAN AVENIDA;SN;-33.489.821;-706.505.035;3868;Gran Avenida Jose Miguel Carrera;San Miguel;San Miguel;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;9590361;ROOFTOP
